Name,Base ATK,ATK%,CR,CD,EB
BlackcliffAgate,510,0.72,0,0.551,0
FavoniusCodex,510,0,0,0,0
MappaMare,497,0,0,0,0.32
ProtoypeAmber,510,0,0,0,0
RoyalGrimoire,565,0.276,0.23,0,0
SacrificialFragments,454,0,0,0,0
SolarPearl,510,0,0.276,0,0.4
TheWidsth,510,0.133,0,0.551,0.106666
EyeOfPerception,454,0.551,0,0,0.45
Frostbearer,510,0.413,0,0,0.14
LostPrayer,608,0.32,0.331,0,0
SkywardAtlas,674,0.331,0,0,0.1733
MemoryOfDust,608,0.896,0,0,0
PrimordialJadeRegalia,674,0.1,0,0.441,0
Stringless,510,0,0,0,0.48
BlackcliffWarbow,565,0.72,0,0.368,0
CompoundBow,454,0.32,0,0,0.69
FavoniusWarbow,454,0,0,0,0
PrototypeCrescent,454,0.449,0,0,0
RoyalBow,510,0.413,0.23,0,0
Rust,510,0.413,0,0,0.4
SacrificialBow,565,0,0,0,0
TheViridescentHunt,510,0,0.276,0,0
SkywardHarp,674,0,0.221,0,0
AmosBow,608,0.496,0,0,0.32
DreamsOfDragonfell,608,0.896,0,0,0
PrimordialJadeVista,608,0.1,0,0.662,0
BlackcliffPole,510,0.72,0,0.551,0
CrescentPike,565,0,0,0,0
Deathmatch,454,0.48,0.368,0,0
DragonsBane,454,0,0,0,0
PrototypeStarglitter,510,0.32,0,0,0
FavoniusLance,565,0,0,0,0
RoyalSpear,565,0.276,0.06,0,0
DragonspineSpear,454,0,0,0,0
LithicSpear,565,0.716,0.28,0,0
VortexVanquisher,608,0.896,0,0,0
PrimordialJadeSpear,674,0.224,0.221,0,0.12
SkywardSpine,674,0,0.08,0,0
StaffOfHoma,608,0.08,0,0.662,0
